[2025-05-16 18:13:17,483] Forwarding module: linear module105, using bit[105] = 3.6758
[2025-05-16 18:13:17,483] Forwarding module: linear module106, using bit[106] = 3.5430
[2025-05-16 18:13:17,483] Forwarding module: linear module107, using bit[107] = 3.5000
[2025-05-16 18:13:17,483] Forwarding module: linear module108, using bit[108] = 3.6621
[2025-05-16 18:13:17,483] Forwarding module: linear module109, using bit[109] = 3.5684
[2025-05-16 18:13:17,484] Forwarding module: linear module110, using bit[110] = 4.1602
[2025-05-16 18:13:17,484] Forwarding module: linear module111, using bit[111] = 5.0078
[2025-05-16 18:13:17,484] Forwarding module: linear module112, using bit[112] = 4.4766
[2025-05-16 18:13:17,484] Forwarding module: linear module113, using bit[113] = 3.5391
[2025-05-16 18:13:17,484] Forwarding module: linear module114, using bit[114] = 3.1992
[2025-05-16 18:13:17,484] Forwarding module: linear module115, using bit[115] = 3.9570
[2025-05-16 18:13:17,484] Forwarding module: linear module116, using bit[116] = 4.5000
[2025-05-16 18:13:17,484] Forwarding module: linear module117, using bit[117] = 3.2559
[2025-05-16 18:13:17,484] Forwarding module: linear module118, using bit[118] = 3.7461
[2025-05-16 18:13:17,484] Forwarding module: linear module119, using bit[119] = 3.5137
[2025-05-16 18:13:17,484] Forwarding module: linear module120, using bit[120] = 4.3789
[2025-05-16 18:13:17,484] Forwarding module: linear module121, using bit[121] = 3.8066
[2025-05-16 18:13:17,484] Forwarding module: linear module122, using bit[122] = 3.5000
[2025-05-16 18:13:17,484] Forwarding module: linear module123, using bit[123] = 3.1094
[2025-05-16 18:13:17,484] Forwarding module: linear module124, using bit[124] = 3.8418
[2025-05-16 18:13:17,484] Forwarding module: linear module125, using bit[125] = 3.9902
[2025-05-16 18:13:17,484] Forwarding module: linear module126, using bit[126] = 3.5137
[2025-05-16 18:13:17,484] Forwarding module: linear module127, using bit[127] = 3.8125
[2025-05-16 18:13:17,484] Forwarding module: linear module128, using bit[128] = 4.5273
[2025-05-16 18:13:17,484] Forwarding module: linear module129, using bit[129] = 3.5000
[2025-05-16 18:13:17,484] Forwarding module: linear module130, using bit[130] = 4.5000
[2025-05-16 18:13:17,485] Forwarding module: linear module131, using bit[131] = 3.9531
[2025-05-16 18:13:17,485] Forwarding module: linear module132, using bit[132] = 3.5000
[2025-05-16 18:13:17,485] Forwarding module: linear module133, using bit[133] = 4.8555
[2025-05-16 18:13:17,485] Forwarding module: linear module134, using bit[134] = 3.6836
[2025-05-16 18:13:17,485] Forwarding module: linear module135, using bit[135] = 4.0508
[2025-05-16 18:13:17,485] Forwarding module: linear module136, using bit[136] = 3.7480
[2025-05-16 18:13:17,485] Forwarding module: linear module137, using bit[137] = 3.8125
[2025-05-16 18:13:17,485] Forwarding module: linear module138, using bit[138] = 4.0977
[2025-05-16 18:13:17,485] Forwarding module: linear module139, using bit[139] = 3.6426
